,ref_de,orig_en,trans_de
0,"Ich darf Sie bitten, sich im Gedenken an die Opfer in Bombay und an den ermordeten Bürger der Europäischen Union in Spanien von Ihren Plätzen zu erheben und der Verstorbenen zu gedenken.",I should like to ask you to rise from your seats in remembrance of the victims in Mumbai and the murdered citizens of the European Union in Spain and to commemorate the dead.,"Ich möchte Sie bitten, sich von Ihren Plätzen zu erheben zum Gedenken an die Opfer in Mumbai und die ermordeten Bürger der Europäischen Union in Spanien und um der Toten zu gedenken."
1,Kurz gesagt: In dieser Frage ist eine begrenzte Richtlinie besser als gar keine.,"In short, Mr President, it is better to have a limited directive in this area than no directive at all.","Kurz gesagt, Herr Präsident, ist es besser, eine eingeschränkte Richtlinie in diesem Bereich zu haben, als gar keine Richtlinie."
2,"Obwohl sie in den 1990er Jahren das Internetrennen angeführt haben, sind die USA heute die einzige wichtige hochentwickelte Volkswirtschaft ohne klaren Plan für eine Digitalisierung.","Despite having led the Internet race in the 1990s, the US is now the only major developed economy without a clear digitization plan.",Trotz ihrer führenden Rolle im Internetwettlauf der 1990er Jahre ist die USA heute die einzige große entwickelte Wirtschaft ohne einen klaren Digitalisierungsplan.
3,"20 Nun, mein Sohn, ich sage nicht, daß ihre Auferstehung bei der Auferstehung Christi stattfindet; sondern siehe, ich gebe es als meine Meinung, daß Seele und Leib der Rechtschaffenen bei der Auferstehung Christi und seiner a Auffahrt in den Himmel wiedervereinigt werden.","20 Now, my son, I do not say that their resurrection cometh at the resurrection of Christ; but behold, I give it as my opinion, that the souls and the bodies are reunited, of the righteous, at the resurrection of Christ, and his a ascension into heaven.","20 Nun, mein Sohn, ich sage nicht, dass ihre Auferstehung mit der Auferstehung Christi kommt; aber siehe, ich gebe es als meine Meinung an, dass die Seelen und die Körper der Gerechten bei der Auferstehung Christi und seinem Aufstieg in den Himmel wiedervereint werden."
4,Auf Anfrage werden sämtliche oben genannten Kurstypen organisiert.,"On demand, they can be organized according to all the aforementioned typologies.",Auf Anfrage können sie nach all den oben genannten Typologien organisiert werden.
5,"Sie muss verständlich sein, d. h. sie muss auf einigen wesentlichen Hauptgedanken beruhen, die gleichzeitig eine Methodik aufzeigen: Identifikation insbesondere mit Hilfe unserer Partner in den NRG bzw. unseren eigenen Beobachtungsstellen; Sanktionen, begleitet von der Vorstellung von Null-Toleranz, und natürlich Vorbeugung.","Our position must be intelligible. That is to say, it must be structured around the major key ideas establishing a method: the identification of racism, particularly with the aid of our partners, the NGOs or our own monitoring centres, the punishment of racism, with the idea of zero tolerance and, of course, the prevention of racism.","Unsere Position muss verständlich sein. Das heißt, sie muss um die zentralen Schlüsselideen strukturiert sein, die eine Methode etablieren: die Erkennung von Rassismus, insbesondere mit Hilfe unserer Partner, der NGOs oder unserer eigenen Überwachungszentren, die Bestrafung von Rassismus mit der Idee der Nulltoleranz und natürlich die Prävention von Rassismus."
6,"Damit werden die Barrieren zwischen Philosophie, Wissenschaften und Aktion ausgewischt. Damit befinden wir uns im östlichen Konzept der Annäherung, aber unter Anwendung westlicher Werkzeuge.",This changed the paradigms to approach complex problems.,Dies änderte die Paradigmen zur Herangehensweise an komplexe Probleme.
7,"Wir freuen uns Ihnen das Angebot der Terra Select GmbH & Co.KG nun in einem neuen, benutzerfreundlichem Layout zu präsentieren.",We are pleased to show you informations about the Terra Select company in a new Design. Enjoy your stay!,"Wir freuen uns, Ihnen Informationen über die Firma Terra Select in einem neuen Design präsentieren zu können. Genießen Sie Ihren Aufenthalt!"
8,Als absoluter Autodidakt hat er keine Kunstausbildung genossen.,He was born in Avalon France 40 years before the start of the First World War.,"Er wurde 40 Jahre vor Beginn des Ersten Weltkriegs in Avalon, Frankreich, geboren."
9,"Mit Hilfe einer intuitiven, wie im Falle von Photoshop.","Using an intuitive, as in the case of Photoshop.","Verwendung einer intuitiven, wie im Fall von Photoshop."
10,Unsere Kolleginnen und Kollegen im Europäischen Parlament werden morgen im Anschluß an den Bericht des Untersuchungsausschusses über eine Entschließung abzustimmen haben.,"Tomorrow, the Members of the European Parliament will be called upon to vote on a resolution stemming from the Committee of Inquiry's report.","Morgen werden die Mitglieder des Europäischen Parlaments aufgerufen, über eine Entschließung abzustimmen, die sich aus dem Bericht des Untersuchungsausschusses ergibt."
11,"Bitte beachten Sie, dass E-Mail-Adressen und Benutzernamen im Mandrakeclub unveränderlich sind. Wenn Sie also bereits Mitglied sind, werden Sie keinen Schnupper-Account eröffnen können.","Please remember that e-mail addresses and user names are unique on Mandrakeclub, so you will not be able to open a trial account if you are already subscribed.","Bitte beachten Sie, dass E-Mail-Adressen und Benutzernamen bei Mandrakeclub einzigartig sind. Sie können kein Testkonto eröffnen, wenn Sie bereits angemeldet sind."
12,"Und genau wie jener frühere Gradualismus den Boden bereitete für die verheerende Finanzkrise und schreckliche Rezession von 2008-2009, besteht derzeit eine wachsende Gefahr eines weiteren Unfalls auf dem wie es aussieht diesmal noch längeren Weg hin zur Normalität.","Just as that earlier gradualism set the stage for a devastating financial crisis and a horrific recession in 2008-2009, there is mounting risk of yet another accident on what promises to be an even longer road to normalization.","Genau wie der frühere Gradualismus die Bühne für eine verheerende Finanzkrise und eine schreckliche Rezession in den Jahren 2008-2009 bereitete, besteht ein zunehmendes Risiko eines weiteren Unfalls auf dem Weg zu einer Normalisierung, die sich voraussichtlich noch länger hinziehen wird."
13,"Echte Verbesserungen der Luftqualität erfordern gemeinsames Wissen darüber, wo wir stehen.","In order to bring about genuine improvements in air quality, we all need to know where we stand.","Um echte Verbesserungen der Luftqualität zu erzielen, müssen wir alle wissen, wo wir stehen."
14,Nachfolgend sehen Sie die Gästebewertungen von Hotel Szabadi .,The guest reviews are submitted by our customers after their stay at Hotel Szabadi .,Die Gästebewertungen werden von unseren Kunden nach ihrem Aufenthalt im Hotel Szabadi abgegeben.
15,"Ich hoffe, dass so parallel geführte und unnötige Strafverfahren vermieden werden können, ohne jedoch zu mehr Bürokratie zu führen, wenn es um Fälle geht, bei denen geeignetere Optionen schnell verfügbar sind.","I hope that, in this way, parallel and unnecessary criminal proceedings may be prevented, without, however, leading to increased bureaucracy when dealing with cases in which more appropriate options are quickly available.","Ich hoffe, dass auf diese Weise parallele und unnötige Strafverfahren verhindert werden können, ohne jedoch zu einer erhöhten Bürokratie bei der Bearbeitung von Fällen zu führen, in denen schnell geeignetere Optionen verfügbar sind."
16,Bands 2009 ... weitere folgen bald ...,Bands 2009 ... many more to follow soon ...,Bands 2009 ... viele weitere folgen in Kürze ...
17,Ende der erhöhten Qualität und des Vorhandenseins der Antenne zum satellitare übertragen diese wertvollen und inneren angenehmen Wohnungen ästhetisch. SOFORTIGE LIEFERUNG.,Really high quality and the prestige of the position make those apartments a great opportunity.,Wirklich hohe Qualität und das Prestige der Lage machen diese Wohnungen zu einer großartigen Gelegenheit.
18,"Die Wählerschaft verurteilt nachdrücklich mangelnde Disziplin bei den Ausgaben und damit eine Verschwendung von Mitteln, aber politische Ziele ohne finanziellen Rückhalt sind nichts weiter als leere Worte.","The voting public is firm in its condemnation of undisciplined and hence wasteful spending, yet political ambitions and goals that lack financial backing are nothing but hollow words.","Die Wählerschaft ist fest in ihrer Verurteilung von undisziplinierten und daher verschwenderischen Ausgaben, doch politische Ambitionen und Ziele, die keine finanzielle Unterstützung haben, sind nichts als leere Worte."
19,Der Besitzer wohnt im gleichen Haus und ist sehr zuvorkommend und freundlich. Lage: direkt neben der Altstadt.,"It´s quiet area, but only about 300 m from centre.","Es ist eine ruhige Gegend, aber nur etwa 300 m vom Zentrum entfernt."
20,Ein neues Script „LocalUserLogonScript“ wird nun bei einer lokalen (Offline) Anmeldung ausgeführt.,A new script „LocalUserLogonScript“ is executed at a local (Offline-) logon.,Ein neues Skript „LocalUserLogonScript“ wird bei einer lokalen (Offline-) Anmeldung ausgeführt.
21,"In einigen islamischen Ländern ist Frauen das Sporttreiben grundsätzlich verboten, oder es wird durch strenge Kleidungsvorschriften unmöglich gemacht.",In some Islamic countries women are barred from sports on principle or are unable to participate because of strict dress codes.,In einigen islamischen Ländern sind Frauen grundsätzlich vom Sport ausgeschlossen oder können aufgrund strenger Kleidungsvorschriften nicht teilnehmen.
22,"Bitte wählen Sie zunächst die Region aus, für die Sie Produktinformationen downloaden möchten.",Please select your region first to obtain appropriate product information.,"Bitte wählen Sie zuerst Ihre Region aus, um die passenden Produktinformationen zu erhalten."
23,Ich habe diese Argumente akzeptiert.,I have accepted these arguments.,Ich habe diese Argumente akzeptiert.
24,Trip advisor commenti hotel imperia jesolo.,"Jesolo - Hotel Imperia 3 stelle in centro jesolo, via bafile.","Jesolo - Hotel Imperia 3 Sterne im Zentrum von Jesolo, Via Bafile."
25,"Wofür, zum Teufel, haltet ihr euch eigentlich?",Just who the hell do you people think you are?,"Wen zum Teufel glaubt ihr eigentlich, dass ihr seid?"
26,Das begrüße ich.,I welcome this.,Ich begrüße dies.
27,"Manche argumentieren, dass Identitätsdiebstahl kann in der Tat, ohne dabei unsere philosophischen Begriff der Menschheit und Finanzen verhindert werden.",Some argue that identity theft can indeed be prevented without changing our philosophical conception of humanity and Finance.,"Einige argumentieren, dass Identitätsdiebstahl tatsächlich verhindert werden kann, ohne unser philosophisches Verständnis von Menschlichkeit und Finanzen zu ändern."
28,"Herr Präsident! Ich habe sehr gern diesem ausgezeichneten Bericht von Herrn Cunha zugestimmt, da er das Prinzip der Nachhaltigkeit auch sehr stark in den Mittelpunkt rückt, das für eine zukunftsweisende Fischereipolitik notwendig ist.","Mr President, I wholeheartedly endorse this excellent report by Mr Cunha as it brings very much to the fore the principle of sustainability which is necessary for a forward-looking fisheries policy.","Herr Präsident, ich unterstütze diesen ausgezeichneten Bericht von Herrn Cunha nachdrücklich, da er das Prinzip der Nachhaltigkeit in den Vordergrund stellt, das für eine zukunftsorientierte Fischereipolitik notwendig ist."
29,Aus diesem Grund distanziert sich der Webmaster und die Betreiber dieser Seiten ausdrücklich von allen Inhalten aller gelinkten Seiten auf dieser Internetpräsenz und macht sich deren Inhalte nicht zu eigen.,For this reason the webmaster and the carrier of this page dissociate clearly from all content of all linked pages on this website and don´t make them belonging to themselves.,Aus diesem Grund distanziert sich der Webmaster und der Betreiber dieser Seite ausdrücklich von allen Inhalten aller verlinkten Seiten auf dieser Website und macht sich diese nicht zu eigen.
30,Dank diesem Werkzeug kann ein Objekt auf der Landkarte problemlos und intuitiv identifiziert werden.,"With this tool, an object on the map can be identified in an easy and intuitive way.",Mit diesem Werkzeug kann ein Objekt auf der Karte einfach und intuitiv identifiziert werden.
31,"You won't know when, but it's going to happen.","Up there on the roof, I felt fear.",Dort oben auf dem Dach fühlte ich Angst.
